name	html_url
AnVIL_Book_Getting_Started	https://github.com/jhudsl/AnVIL_Book_Getting_Started
GDSCN_Book_SARS_Galaxy_on_AnVIL	https://github.com/jhudsl/GDSCN_Book_SARS_Galaxy_on_AnVIL
GDSCN_bookdown_style	https://github.com/jhudsl/GDSCN_bookdown_style
GDSCN_Book_Statistics_for_Genomics_PCA	https://github.com/jhudsl/GDSCN_Book_Statistics_for_Genomics_PCA
GDSCN_Book_Statistics_for_Genomics_SCRNA-seq	https://github.com/jhudsl/GDSCN_Book_Statistics_for_Genomics_SCRNA-seq
GDSCN_Book_Statistics_for_Genomics_Differential_Expression	https://github.com/jhudsl/GDSCN_Book_Statistics_for_Genomics_Differential_Expression
GDSCN_Book_Statistics_for_Genomics_RNA-seq	https://github.com/jhudsl/GDSCN_Book_Statistics_for_Genomics_RNA-seq
anvil-intro	https://github.com/jhudsl/anvil-intro
AnVIL_Template	https://github.com/jhudsl/AnVIL_Template
AnVIL_Book_WDL	https://github.com/jhudsl/AnVIL_Book_WDL
AnVIL_Template_Test	https://github.com/jhudsl/AnVIL_Template_Test
AnVIL_Book_Instructor_Guide	https://github.com/jhudsl/AnVIL_Book_Instructor_Guide
